2023-06-11 11:55:01,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:01","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:01"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:01,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:01","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:01"},"success":true}
2023-06-11 11:55:02,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:02,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true}
2023-06-11 11:55:02,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:02,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true}
2023-06-11 11:55:02,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:02,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:02,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true}
2023-06-11 11:55:02,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true}
2023-06-11 11:55:02,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:02,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true}
2023-06-11 11:55:02,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:02,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:02","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:02"},"success":true}
2023-06-11 11:55:03,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:03","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:03"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-11 11:55:03,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-11 11:55:03","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:03"},"success":true}
2023-06-11 11:55:04,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-11 11:55:04","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-11 11:55:04"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
